No.,Date,ID,Name,Switch,Brightness(%),Power Rate(%),Power Sum(W),Power AC(W),Power DC(W),Power Limit Hard(W),Power Limit Soft(W),Current Sum(A),Current Limit(A),DR(%),Led Count,Energy (kWh)
11108,12/28/21 8:57:13 AM,1_51,配电箱总功�,1,50,100,7687,7687,0,30000,8800,36,0,0,7,117.261
5017,12/28/21 8:57:15 AM,1_65,四个充电桩�,1,25,60,7119,7119,0,10000,0,33,35,0,4,88.508
8050,12/28/21 8:57:16 AM,1_62,B相电流上限,1,50,100,7312,7312,0,10000,0,33,0,0,5,95.151
5018,12/28/21 8:58:00 AM,1_65,四个充电桩�,1,25,52,8368,8368,0,10000,0,39,35,0,4,88.612
9571,12/28/21 8:58:02 AM,1_61,A相电流上限,1,100,100,161,161,0,10000,0,1,0,0,1,8.451
571,12/28/21 8:58:02 AM,1_73,C相充电桩电,1,40,100,228,228,0,0,0,1,0,0,1,13.651
3535,12/28/21 8:58:02 AM,1_71,A相充电桩电,1,40,100,161,161,0,8800,0,1,0,0,1,8.457
6553,12/28/21 8:58:02 AM,1_63,C相电流上限,1,100,100,228,228,0,10000,0,1,0,0,1,13.658
14468,12/28/21 8:58:02 AM,1_11,充电桩上电,1,25,100,8368,8368,0,0,0,39,0,0,4,88.42
2030,12/28/21 8:58:02 AM,1_72,B相充电桩电,1,25,100,8368,8368,0,8800,0,39,0,0,4,88.556
13417,12/28/21 8:58:02 AM,1_2,2号充电桩,1,100,100,2283,2283,0,0,0,10,0,0,1,25.971
12120,12/28/21 8:58:02 AM,1_4,4号充电桩,1,100,100,3222,3222,0,0,0,15,0,0,1,26.846
15483,12/28/21 8:58:02 AM,1_1,1号充电桩,1,100,100,1597,1597,0,0,0,7,0,0,1,18.57
12630,12/28/21 8:58:02 AM,1_3,3号充电桩,1,100,100,1266,1266,0,0,0,6,0,0,1,16.098
11109,12/28/21 8:58:12 AM,1_51,配电箱总功�,1,50,100,9150,9150,0,30000,8800,43,0,0,7,117.411
8051,12/28/21 8:58:16 AM,1_62,B相电流上限,1,50,100,7646,7646,0,10000,0,36,0,0,5,95.278
5019,12/28/21 8:59:02 AM,1_65,四个充电桩�,1,25,52,7925,7925,0,10000,0,37,35,0,4,88.746
572,12/28/21 8:59:02 AM,1_73,C相充电桩电,1,40,100,324,324,0,0,0,2,0,0,1,13.656
6554,12/28/21 8:59:02 AM,1_63,C相电流上限,1,100,100,324,324,0,10000,0,2,0,0,1,13.664
9572,12/28/21 8:59:02 AM,1_61,A相电流上限,1,100,100,173,173,0,10000,0,1,0,0,1,8.454
3536,12/28/21 8:59:02 AM,1_71,A相充电桩电,1,40,100,173,173,0,8800,0,1,0,0,1,8.46
14469,12/28/21 8:59:02 AM,1_11,充电桩上电,1,25,100,7925,7925,0,0,0,37,0,0,4,88.552
2031,12/28/21 8:59:02 AM,1_72,B相充电桩电,1,25,100,7925,7925,0,8800,0,37,0,0,4,88.688
12121,12/28/21 8:59:02 AM,1_4,4号充电桩,1,100,100,2794,2794,0,0,0,13,0,0,1,26.893
13418,12/28/21 8:59:02 AM,1_2,2号充电桩,1,100,100,2036,2036,0,0,0,9,0,0,1,26.005
15484,12/28/21 8:59:02 AM,1_1,1号充电桩,1,100,100,1391,1391,0,0,0,6,0,0,1,18.593
12631,12/28/21 8:59:02 AM,1_3,3号充电桩,1,100,100,1704,1704,0,0,0,8,0,0,1,16.127
11110,12/28/21 8:59:13 AM,1_51,配电箱总功�,1,50,100,8597,8597,0,30000,8800,40,0,0,7,117.557
8052,12/28/21 8:59:16 AM,1_62,B相电流上限,1,50,100,8148,8148,0,10000,0,37,0,0,5,95.414
5020,12/28/21 8:59:18 AM,1_65,四个充电桩�,1,25,44,8120,8120,0,10000,0,38,35,0,4,88.782
5021,12/28/21 8:59:33 AM,1_65,四个充电桩�,1,25,36,8108,8108,0,10000,0,38,35,0,4,88.814
6555,12/28/21 9:00:02 AM,1_63,C相电流上限,1,100,100,309,309,0,10000,0,2,0,0,1,13.669
9573,12/28/21 9:00:02 AM,1_61,A相电流上限,1,100,100,270,270,0,10000,0,1,0,0,1,8.458
573,12/28/21 9:00:02 AM,1_73,C相充电桩电,1,40,100,309,309,0,0,0,2,0,0,1,13.661
3537,12/28/21 9:00:02 AM,1_71,A相充电桩电,1,40,100,270,270,0,8800,0,1,0,0,1,8.464
14470,12/28/21 9:00:02 AM,1_11,充电桩上电,1,25,100,4878,4878,0,0,0,22,0,0,4,88.632
2032,12/28/21 9:00:02 AM,1_72,B相充电桩电,1,25,100,4878,4878,0,8800,0,22,0,0,4,88.768
13419,12/28/21 9:00:02 AM,1_2,2号充电桩,1,100,100,1451,1451,0,0,0,6,0,0,1,26.029
12122,12/28/21 9:00:02 AM,1_4,4号充电桩,1,100,100,1918,1918,0,0,0,8,0,0,1,26.924
15485,12/28/21 9:00:02 AM,1_1,1号充电桩,1,100,100,5,5,0,0,0,0,0,0,1,18.593
12632,12/28/21 9:00:02 AM,1_3,3号充电桩,1,100,100,1504,1504,0,0,0,7,0,0,1,16.151
11111,12/28/21 9:00:12 AM,1_51,配电箱总功�,1,50,100,5699,5699,0,30000,8800,26,0,0,7,117.649
8053,12/28/21 9:00:17 AM,1_62,B相电流上限,1,50,100,5059,5059,0,10000,0,23,0,0,5,95.498
5022,12/28/21 9:00:20 AM,1_65,四个充电桩�,1,25,41,4876,4876,0,10000,0,22,35,0,4,88.878
5023,12/28/21 9:00:46 AM,1_65,四个充电桩�,1,25,46,6454,6454,0,10000,0,30,35,0,4,88.924
11112,12/28/21 9:00:49 AM,1_51,配电箱总功�,1,50,100,7216,7216,0,30000,8800,34,0,0,7,117.721
9574,12/28/21 9:00:49 AM,1_61,A相电流上限,1,100,100,161,161,0,10000,0,1,0,0,1,8.46
6556,12/28/21 9:00:50 AM,1_63,C相电流上限,1,100,100,226,226,0,10000,0,1,0,0,1,13.672
8054,12/28/21 9:00:50 AM,1_62,B相电流上限,1,50,100,6829,6829,0,10000,0,31,0,0,5,95.559
574,12/28/21 9:00:50 AM,1_73,C相充电桩电,1,40,100,226,226,0,0,0,1,0,0,1,13.664
3538,12/28/21 9:00:50 AM,1_71,A相充电桩电,1,40,100,161,161,0,8800,0,1,0,0,1,8.466
2033,12/28/21 9:00:50 AM,1_72,B相充电桩电,1,25,100,6454,6454,0,8800,0,30,0,0,4,88.852
5024,12/28/21 9:00:50 AM,1_65,四个充电桩�,1,25,46,6454,6454,0,10000,0,30,35,0,4,88.93
12123,12/28/21 9:00:50 AM,1_4,4号充电桩,1,100,100,1935,1935,0,0,0,8,0,0,1,26.95
12633,12/28/21 9:00:50 AM,1_3,3号充电桩,1,100,100,1704,1704,0,0,0,7,0,0,1,16.173
13420,12/28/21 9:00:50 AM,1_2,2号充电桩,1,100,100,1702,1702,0,0,0,7,0,0,1,26.051
15486,12/28/21 9:00:50 AM,1_1,1号充电桩,1,100,100,1113,1113,0,0,0,5,0,0,1,18.608
14471,12/28/21 9:00:50 AM,1_11,充电桩上电,1,25,100,6454,6454,0,0,0,30,0,0,4,88.718
9575,12/28/21 9:01:03 AM,1_61,A相电流上限,1,100,100,166,166,0,10000,0,1,0,0,1,8.461
6557,12/28/21 9:01:03 AM,1_63,C相电流上限,1,100,100,238,238,0,10000,0,1,0,0,1,13.673
575,12/28/21 9:01:03 AM,1_73,C相充电桩电,1,40,100,238,238,0,0,0,1,0,0,1,13.665
3539,12/28/21 9:01:03 AM,1_71,A相充电桩电,1,40,100,166,166,0,8800,0,1,0,0,1,8.467
2034,12/28/21 9:01:03 AM,1_72,B相充电桩电,1,25,100,6594,6594,0,8800,0,31,0,0,4,88.874
13421,12/28/21 9:01:03 AM,1_2,2号充电桩,1,100,100,1700,1700,0,0,0,7,0,0,1,26.057
14472,12/28/21 9:01:03 AM,1_11,充电桩上电,1,25,100,6594,6594,0,0,0,31,0,0,4,88.74
12124,12/28/21 9:01:03 AM,1_4,4号充电桩,1,100,100,2130,2130,0,0,0,9,0,0,1,26.957
12634,12/28/21 9:01:03 AM,1_3,3号充电桩,1,100,100,1703,1703,0,0,0,7,0,0,1,16.179
15487,12/28/21 9:01:03 AM,1_1,1号充电桩,1,100,100,1061,1061,0,0,0,5,0,0,1,18.612
11113,12/28/21 9:01:13 AM,1_51,配电箱总功�,1,50,100,7746,7746,0,30000,8800,36,0,0,7,117.77
8055,12/28/21 9:01:16 AM,1_62,B相电流上限,1,50,100,7278,7278,0,10000,0,33,0,0,5,95.612
5025,12/28/21 9:01:46 AM,1_65,四个充电桩�,1,25,46,7126,7126,0,10000,0,33,35,0,4,89.041
11114,12/28/21 9:01:52 AM,1_51,配电箱总功�,1,50,100,7687,7687,0,30000,8800,36,0,0,7,117.853
6558,12/28/21 9:02:02 AM,1_63,C相电流上限,1,100,100,239,239,0,10000,0,1,0,0,1,13.676
9576,12/28/21 9:02:02 AM,1_61,A相电流上限,1,100,100,100,100,0,10000,0,0,0,0,1,8.463
576,12/28/21 9:02:02 AM,1_73,C相充电桩电,1,40,100,239,239,0,0,0,1,0,0,1,13.669
3540,12/28/21 9:02:02 AM,1_71,A相充电桩电,1,40,100,100,100,0,8800,0,0,0,0,1,8.469
14473,12/28/21 9:02:02 AM,1_11,充电桩上电,1,25,100,7134,7134,0,0,0,33,0,0,4,88.857
2035,12/28/21 9:02:02 AM,1_72,B相充电桩电,1,25,100,7134,7134,0,8800,0,33,0,0,4,88.991
13422,12/28/21 9:02:02 AM,1_2,2号充电桩,1,100,100,1705,1705,0,0,0,7,0,0,1,26.085
12125,12/28/21 9:02:02 AM,1_4,4号充电桩,1,100,100,2384,2384,0,0,0,11,0,0,1,26.996
12635,12/28/21 9:02:02 AM,1_3,3号充电桩,1,100,100,1908,1908,0,0,0,8,0,0,1,16.21
15488,12/28/21 9:02:02 AM,1_1,1号充电桩,1,100,100,1137,1137,0,0,0,5,0,0,1,18.63
11115,12/28/21 9:02:13 AM,1_51,配电箱总功�,1,50,100,7661,7661,0,30000,8800,36,0,0,7,117.896
8056,12/28/21 9:02:17 AM,1_62,B相电流上限,1,50,100,7323,7323,0,10000,0,33,0,0,5,95.736
5026,12/28/21 9:02:46 AM,1_65,四个充电桩�,1,25,46,7139,7139,0,10000,0,33,35,0,4,89.158
9577,12/28/21 9:03:02 AM,1_61,A相电流上限,1,100,100,112,112,0,10000,0,0,0,0,1,8.465
577,12/28/21 9:03:02 AM,1_73,C相充电桩电,1,40,100,190,190,0,0,0,1,0,0,1,13.672
6559,12/28/21 9:03:02 AM,1_63,C相电流上限,1,100,100,190,190,0,10000,0,1,0,0,1,13.68
3541,12/28/21 9:03:02 AM,1_71,A相充电桩电,1,40,100,112,112,0,8800,0,0,0,0,1,8.47
2036,12/28/21 9:03:02 AM,1_72,B相充电桩电,1,25,100,7140,7140,0,8800,0,33,0,0,4,89.11
14474,12/28/21 9:03:02 AM,1_11,充电桩上电,1,25,100,7140,7140,0,0,0,33,0,0,4,88.976
13423,12/28/21 9:03:02 AM,1_2,2号充电桩,1,100,100,1705,1705,0,0,0,7,0,0,1,26.113
15489,12/28/21 9:03:02 AM,1_1,1号充电桩,1,100,100,1143,1143,0,0,0,5,0,0,1,18.65
12636,12/28/21 9:03:02 AM,1_3,3号充电桩,1,100,100,1908,1908,0,0,0,8,0,0,1,16.242
11116,12/28/21 9:03:12 AM,1_51,配电箱总功�,1,50,100,7575,7575,0,30000,8800,35,0,0,7,118.02
8057,12/28/21 9:03:16 AM,1_62,B相电流上限,1,50,100,7320,7320,0,10000,0,33,0,0,5,95.854
5027,12/28/21 9:03:47 AM,1_65,四个充电桩�,1,25,46,7128,7128,0,10000,0,33,35,0,4,89.278
9578,12/28/21 9:04:02 AM,1_61,A相电流上限,1,100,100,157,157,0,10000,0,1,0,0,1,8.467
578,12/28/21 9:04:02 AM,1_73,C相充电桩电,1,40,100,219,219,0,0,0,1,0,0,1,13.676
6560,12/28/21 9:04:02 AM,1_63,C相电流上限,1,100,100,219,219,0,10000,0,1,0,0,1,13.683
3542,12/28/21 9:04:02 AM,1_71,A相充电桩电,1,40,100,157,157,0,8800,0,1,0,0,1,8.473
2037,12/28/21 9:04:02 AM,1_72,B相充电桩电,1,25,100,7083,7083,0,8800,0,33,0,0,4,89.228
14475,12/28/21 9:04:02 AM,1_11,充电桩上电,1,25,100,7083,7083,0,0,0,33,0,0,4,89.094
13424,12/28/21 9:04:02 AM,1_2,2号充电桩,1,100,100,1699,1699,0,0,0,7,0,0,1,26.141
12126,12/28/21 9:04:02 AM,1_4,4号充电桩,1,100,100,2330,2330,0,0,0,10,0,0,1,27.074
15490,12/28/21 9:04:02 AM,1_1,1号充电桩,1,100,100,1142,1142,0,0,0,5,0,0,1,18.669
12637,12/28/21 9:04:02 AM,1_3,3号充电桩,1,100,100,1912,1912,0,0,0,8,0,0,1,16.274
11117,12/28/21 9:04:12 AM,1_51,配电箱总功�,1,50,100,7933,7933,0,30000,8800,37,0,0,7,118.152
8058,12/28/21 9:04:16 AM,1_62,B相电流上限,1,50,100,7326,7326,0,10000,0,33,0,0,5,95.974
5028,12/28/21 9:04:46 AM,1_65,四个充电桩�,1,25,46,7125,7125,0,10000,0,33,35,0,4,89.393
9579,12/28/21 9:05:02 AM,1_61,A相电流上限,1,100,100,161,161,0,10000,0,1,0,0,1,8.47
579,12/28/21 9:05:02 AM,1_73,C相充电桩电,1,40,100,202,202,0,0,0,1,0,0,1,13.679
6561,12/28/21 9:05:02 AM,1_63,C相电流上限,1,100,100,202,202,0,10000,0,1,0,0,1,13.687
3543,12/28/21 9:05:02 AM,1_71,A相充电桩电,1,40,100,161,161,0,8800,0,1,0,0,1,8.476
2038,12/28/21 9:05:02 AM,1_72,B相充电桩电,1,25,100,7128,7128,0,8800,0,33,0,0,4,89.345
14476,12/28/21 9:05:02 AM,1_11,充电桩上电,1,25,100,7128,7128,0,0,0,33,0,0,4,89.21
12127,12/28/21 9:05:02 AM,1_4,4号充电桩,1,100,100,2373,2373,0,0,0,11,0,0,1,27.113
13425,12/28/21 9:05:02 AM,1_2,2号充电桩,1,100,100,1701,1701,0,0,0,7,0,0,1,26.169
12638,12/28/21 9:05:02 AM,1_3,3号充电桩,1,100,100,1911,1911,0,0,0,8,0,0,1,16.305
15491,12/28/21 9:05:02 AM,1_1,1号充电桩,1,100,100,1143,1143,0,0,0,5,0,0,1,18.687
11118,12/28/21 9:05:12 AM,1_51,配电箱总功�,1,50,100,7716,7716,0,30000,8800,36,0,0,7,118.281
8059,12/28/21 9:05:17 AM,1_62,B相电流上限,1,50,100,7331,7331,0,10000,0,33,0,0,5,96.098
5029,12/28/21 9:05:47 AM,1_65,四个充电桩�,1,25,46,7081,7081,0,10000,0,33,35,0,4,89.511
9580,12/28/21 9:06:03 AM,1_61,A相电流上限,1,100,100,112,112,0,10000,0,1,0,0,1,8.472
6562,12/28/21 9:06:03 AM,1_63,C相电流上限,1,100,100,178,178,0,10000,0,1,0,0,1,13.69
580,12/28/21 9:06:03 AM,1_73,C相充电桩电,1,40,100,178,178,0,0,0,1,0,0,1,13.682
14477,12/28/21 9:06:03 AM,1_11,充电桩上电,1,25,100,7090,7090,0,0,0,33,0,0,4,89.329
2039,12/28/21 9:06:03 AM,1_72,B相充电桩电,1,25,100,7090,7090,0,8800,0,33,0,0,4,89.463
3544,12/28/21 9:06:03 AM,1_71,A相充电桩电,1,40,100,112,112,0,8800,0,1,0,0,1,8.478
13426,12/28/21 9:06:03 AM,1_2,2号充电桩,1,100,100,1704,1704,0,0,0,7,0,0,1,26.198
12128,12/28/21 9:06:03 AM,1_4,4号充电桩,1,100,100,2334,2334,0,0,0,10,0,0,1,27.152
12639,12/28/21 9:06:03 AM,1_3,3号充电桩,1,100,100,1910,1910,0,0,0,8,0,0,1,16.337
15492,12/28/21 9:06:03 AM,1_1,1号充电桩,1,100,100,1142,1142,0,0,0,5,0,0,1,18.706
11119,12/28/21 9:06:12 AM,1_51,配电箱总功�,1,50,100,7701,7701,0,30000,8800,36,0,0,7,118.409
8060,12/28/21 9:06:17 AM,1_62,B相电流上限,1,50,100,7338,7338,0,10000,0,33,0,0,5,96.218
5030,12/28/21 9:06:46 AM,1_65,四个充电桩�,1,25,46,7133,7133,0,10000,0,33,35,0,4,89.628
581,12/28/21 9:07:02 AM,1_73,C相充电桩电,1,40,100,179,179,0,0,0,1,0,0,1,13.685
6563,12/28/21 9:07:02 AM,1_63,C相电流上限,1,100,100,179,179,0,10000,0,1,0,0,1,13.692
9581,12/28/21 9:07:02 AM,1_61,A相电流上限,1,100,100,136,136,0,10000,0,1,0,0,1,8.474
2040,12/28/21 9:07:02 AM,1_72,B相充电桩电,1,25,100,7219,7219,0,8800,0,33,0,0,4,89.581
3545,12/28/21 9:07:02 AM,1_71,A相充电桩电,1,40,100,136,136,0,8800,0,1,0,0,1,8.48
14478,12/28/21 9:07:02 AM,1_11,充电桩上电,1,25,100,7219,7219,0,0,0,33,0,0,4,89.447
12129,12/28/21 9:07:02 AM,1_4,4号充电桩,1,100,100,2406,2406,0,0,0,11,0,0,1,27.192
13427,12/28/21 9:07:02 AM,1_2,2号充电桩,1,100,100,1720,1720,0,0,0,7,0,0,1,26.226
15493,12/28/21 9:07:02 AM,1_1,1号充电桩,1,100,100,1142,1142,0,0,0,5,0,0,1,18.725
12640,12/28/21 9:07:02 AM,1_3,3号充电桩,1,100,100,1951,1951,0,0,0,8,0,0,1,16.369
11120,12/28/21 9:07:12 AM,1_51,配电箱总功�,1,50,100,7734,7734,0,30000,8800,36,0,0,7,118.536
8061,12/28/21 9:07:16 AM,1_62,B相电流上限,1,50,100,7420,7420,0,10000,0,33,0,0,5,96.34
5031,12/28/21 9:07:46 AM,1_65,四个充电桩�,1,25,46,7227,7227,0,10000,0,33,35,0,4,89.746
9582,12/28/21 9:08:03 AM,1_61,A相电流上限,1,100,100,161,161,0,10000,0,1,0,0,1,8.477
6564,12/28/21 9:08:03 AM,1_63,C相电流上限,1,100,100,191,191,0,10000,0,1,0,0,1,13.696
3546,12/28/21 9:08:03 AM,1_71,A相充电桩电,1,40,100,161,161,0,8800,0,1,0,0,1,8.482
582,12/28/21 9:08:03 AM,1_73,C相充电桩电,1,40,100,191,191,0,0,0,1,0,0,1,13.688
14479,12/28/21 9:08:03 AM,1_11,充电桩上电,1,25,100,7151,7151,0,0,0,33,0,0,4,89.566
2041,12/28/21 9:08:03 AM,1_72,B相充电桩电,1,25,100,7151,7151,0,8800,0,33,0,0,4,89.701
13428,12/28/21 9:08:03 AM,1_2,2号充电桩,1,100,100,1708,1708,0,0,0,7,0,0,1,26.254
12130,12/28/21 9:08:03 AM,1_4,4号充电桩,1,100,100,2386,2386,0,0,0,11,0,0,1,27.231
12641,12/28/21 9:08:03 AM,1_3,3号充电桩,1,100,100,1913,1913,0,0,0,8,0,0,1,16.401
15494,12/28/21 9:08:03 AM,1_1,1号充电桩,1,100,100,1144,1144,0,0,0,5,0,0,1,18.744
11121,12/28/21 9:08:12 AM,1_51,配电箱总功�,1,50,100,7740,7740,0,30000,8800,36,0,0,7,118.665
8062,12/28/21 9:08:16 AM,1_62,B相电流上限,1,50,100,7353,7353,0,10000,0,33,0,0,5,96.46
5032,12/28/21 9:08:47 AM,1_65,四个充电桩�,1,25,46,7150,7150,0,10000,0,33,35,0,4,89.866
583,12/28/21 9:09:02 AM,1_73,C相充电桩电,1,40,100,241,241,0,0,0,1,0,0,1,13.692
6565,12/28/21 9:09:02 AM,1_63,C相电流上限,1,100,100,241,241,0,10000,0,1,0,0,1,13.7
9583,12/28/21 9:09:02 AM,1_61,A相电流上限,1,100,100,136,136,0,10000,0,1,0,0,1,8.479
3547,12/28/21 9:09:02 AM,1_71,A相充电桩电,1,40,100,136,136,0,8800,0,1,0,0,1,8.485
14480,12/28/21 9:09:02 AM,1_11,充电桩上电,1,25,100,7149,7149,0,0,0,33,0,0,4,89.683
2042,12/28/21 9:09:02 AM,1_72,B相充电桩电,1,25,100,7149,7149,0,8800,0,33,0,0,4,89.818
12131,12/28/21 9:09:02 AM,1_4,4号充电桩,1,100,100,2384,2384,0,0,0,11,0,0,1,27.271
13429,12/28/21 9:09:02 AM,1_2,2号充电桩,1,100,100,1708,1708,0,0,0,7,0,0,1,26.282
15495,12/28/21 9:09:02 AM,1_1,1号充电桩,1,100,100,1143,1143,0,0,0,5,0,0,1,18.763
12642,12/28/21 9:09:02 AM,1_3,3号充电桩,1,100,100,1914,1914,0,0,0,8,0,0,1,16.432
11122,12/28/21 9:09:12 AM,1_51,配电箱总功�,1,50,100,7676,7676,0,30000,8800,36,0,0,7,118.793
8063,12/28/21 9:09:17 AM,1_62,B相电流上限,1,50,100,7352,7352,0,10000,0,33,0,0,5,96.585
5033,12/28/21 9:09:46 AM,1_65,四个充电桩�,1,25,46,7169,7169,0,10000,0,33,35,0,4,89.983
9584,12/28/21 9:10:03 AM,1_61,A相电流上限,1,100,100,104,104,0,10000,0,0,0,0,1,8.481
6566,12/28/21 9:10:03 AM,1_63,C相电流上限,1,100,100,191,191,0,10000,0,1,0,0,1,13.703
584,12/28/21 9:10:03 AM,1_73,C相充电桩电,1,40,100,191,191,0,0,0,1,0,0,1,13.695
3548,12/28/21 9:10:03 AM,1_71,A相充电桩电,1,40,100,104,104,0,8800,0,0,0,0,1,8.486
14481,12/28/21 9:10:03 AM,1_11,充电桩上电,1,25,100,7169,7169,0,0,0,33,0,0,4,89.803
2043,12/28/21 9:10:03 AM,1_72,B相充电桩电,1,25,100,7169,7169,0,8800,0,33,0,0,4,89.937
12132,12/28/21 9:10:03 AM,1_4,4号充电桩,1,100,100,2395,2395,0,0,0,11,0,0,1,27.31
13430,12/28/21 9:10:03 AM,1_2,2号充电桩,1,100,100,1715,1715,0,0,0,7,0,0,1,26.311
12643,12/28/21 9:10:03 AM,1_3,3号充电桩,1,100,100,1915,1915,0,0,0,8,0,0,1,16.464
15496,12/28/21 9:10:03 AM,1_1,1号充电桩,1,100,100,1144,1144,0,0,0,5,0,0,1,18.782
11123,12/28/21 9:10:12 AM,1_51,配电箱总功�,1,50,100,7661,7661,0,30000,8800,35,0,0,7,118.919
8064,12/28/21 9:10:16 AM,1_62,B相电流上限,1,50,100,7371,7371,0,10000,0,33,0,0,5,96.704
5034,12/28/21 9:10:46 AM,1_65,四个充电桩�,1,25,46,7168,7168,0,10000,0,33,35,0,4,90.103
9585,12/28/21 9:11:02 AM,1_61,A相电流上限,1,100,100,100,100,0,10000,0,0,0,0,1,8.482
6567,12/28/21 9:11:02 AM,1_63,C相电流上限,1,100,100,179,179,0,10000,0,1,0,0,1,13.706
585,12/28/21 9:11:02 AM,1_73,C相充电桩电,1,40,100,179,179,0,0,0,1,0,0,1,13.698
3549,12/28/21 9:11:02 AM,1_71,A相充电桩电,1,40,100,100,100,0,8800,0,0,0,0,1,8.488
14482,12/28/21 9:11:02 AM,1_11,充电桩上电,1,25,100,7173,7173,0,0,0,33,0,0,4,89.92
2044,12/28/21 9:11:02 AM,1_72,B相充电桩电,1,25,100,7173,7173,0,8800,0,33,0,0,4,90.055
13431,12/28/21 9:11:02 AM,1_2,2号充电桩,1,100,100,1717,1717,0,0,0,7,0,0,1,26.339
12133,12/28/21 9:11:02 AM,1_4,4号充电桩,1,100,100,2397,2397,0,0,0,11,0,0,1,27.35
15497,12/28/21 9:11:02 AM,1_1,1号充电桩,1,100,100,1144,1144,0,0,0,5,0,0,1,18.801
12644,12/28/21 9:11:02 AM,1_3,3号充电桩,1,100,100,1915,1915,0,0,0,8,0,0,1,16.496
11124,12/28/21 9:11:12 AM,1_51,配电箱总功�,1,50,100,7650,7650,0,30000,8800,35,0,0,7,119.044
8065,12/28/21 9:11:16 AM,1_62,B相电流上限,1,50,100,7359,7359,0,10000,0,33,0,0,5,96.824
5035,12/28/21 9:11:46 AM,1_65,四个充电桩�,1,25,46,7172,7172,0,10000,0,33,35,0,4,90.222
9586,12/28/21 9:12:02 AM,1_61,A相电流上限,1,100,100,100,100,0,10000,0,1,0,0,1,8.484
586,12/28/21 9:12:02 AM,1_73,C相充电桩电,1,40,100,179,179,0,0,0,1,0,0,1,13.701
3550,12/28/21 9:12:02 AM,1_71,A相充电桩电,1,40,100,100,100,0,8800,0,1,0,0,1,8.49
6568,12/28/21 9:12:02 AM,1_63,C相电流上限,1,100,100,179,179,0,10000,0,1,0,0,1,13.709
13432,12/28/21 9:12:02 AM,1_2,2号充电桩,1,100,100,1717,1717,0,0,0,7,0,0,1,26.367
14483,12/28/21 9:12:02 AM,1_11,充电桩上电,1,25,100,7170,7170,0,0,0,33,0,0,4,90.038
2045,12/28/21 9:12:02 AM,1_72,B相充电桩电,1,25,100,7170,7170,0,8800,0,33,0,0,4,90.172
12645,12/28/21 9:12:02 AM,1_3,3号充电桩,1,100,100,1913,1913,0,0,0,8,0,0,1,16.527
15498,12/28/21 9:12:02 AM,1_1,1号充电桩,1,100,100,1143,1143,0,0,0,5,0,0,1,18.819
12134,12/28/21 9:12:02 AM,1_4,4号充电桩,1,100,100,2397,2397,0,0,0,11,0,0,1,27.389
11125,12/28/21 9:12:12 AM,1_51,配电箱总功�,1,50,100,7632,7632,0,30000,8800,35,0,0,7,119.169
8066,12/28/21 9:12:16 AM,1_62,B相电流上限,1,50,100,7364,7364,0,10000,0,33,0,0,5,96.945
5036,12/28/21 9:12:47 AM,1_65,四个充电桩�,1,25,46,7167,7167,0,10000,0,33,35,0,4,90.342
9587,12/28/21 9:13:02 AM,1_61,A相电流上限,1,100,100,137,137,0,10000,0,1,0,0,1,8.486
6569,12/28/21 9:13:02 AM,1_63,C相电流上限,1,100,100,179,179,0,10000,0,1,0,0,1,13.712
587,12/28/21 9:13:02 AM,1_73,C相充电桩电,1,40,100,179,179,0,0,0,1,0,0,1,13.704
3551,12/28/21 9:13:02 AM,1_71,A相充电桩电,1,40,100,137,137,0,8800,0,1,0,0,1,8.492
14484,12/28/21 9:13:02 AM,1_11,充电桩上电,1,25,100,7165,7165,0,0,0,33,0,0,4,90.157
2046,12/28/21 9:13:02 AM,1_72,B相充电桩电,1,25,100,7165,7165,0,8800,0,33,0,0,4,90.292
12135,12/28/21 9:13:02 AM,1_4,4号充电桩,1,100,100,2395,2395,0,0,0,11,0,0,1,27.429
13433,12/28/21 9:13:02 AM,1_2,2号充电桩,1,100,100,1715,1715,0,0,0,7,0,0,1,26.396
15499,12/28/21 9:13:02 AM,1_1,1号充电桩,1,100,100,1142,1142,0,0,0,5,0,0,1,18.838
12646,12/28/21 9:13:02 AM,1_3,3号充电桩,1,100,100,1913,1913,0,0,0,8,0,0,1,16.559
11126,12/28/21 9:13:12 AM,1_51,配电箱总功�,1,50,100,7674,7674,0,30000,8800,35,0,0,7,119.297
8067,12/28/21 9:13:17 AM,1_62,B相电流上限,1,50,100,7372,7372,0,10000,0,33,0,0,5,97.068
5037,12/28/21 9:13:46 AM,1_65,四个充电桩�,1,25,46,7181,7181,0,10000,0,33,35,0,4,90.459
9588,12/28/21 9:14:02 AM,1_61,A相电流上限,1,100,100,100,100,0,10000,0,0,0,0,1,8.488
6570,12/28/21 9:14:02 AM,1_63,C相电流上限,1,100,100,167,167,0,10000,0,1,0,0,1,13.714
588,12/28/21 9:14:02 AM,1_73,C相充电桩电,1,40,100,167,167,0,0,0,1,0,0,1,13.707
2047,12/28/21 9:14:02 AM,1_72,B相充电桩电,1,25,100,7180,7180,0,8800,0,33,0,0,4,90.409
3552,12/28/21 9:14:02 AM,1_71,A相充电桩电,1,40,100,100,100,0,8800,0,0,0,0,1,8.494
14485,12/28/21 9:14:02 AM,1_11,充电桩上电,1,25,100,7180,7180,0,0,0,33,0,0,4,90.275
13434,12/28/21 9:14:02 AM,1_2,2号充电桩,1,100,100,1717,1717,0,0,0,7,0,0,1,26.424
